stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
2945,48025040,ARTZUBI (2945),,43.1487166241168,-2.86175388056471,3,,0,,Europe/Madrid,0,0,
4110,48043030,ALDAI (4110),,43.4160208778483,-2.93390260504411,3,,0,,Europe/Madrid,1,0,
4148,48043031,ALDAI (4148),,43.4159037845786,-2.93384097080054,3,,0,,Europe/Madrid,1,0,
3902,48053034,ARETXALDE (3902),,43.3490314369652,-2.91288841635875,3,,0,,Europe/Madrid,0,0,
3903,48053035,ARETXALDE (3903),,43.3495800805546,-2.91206092799255,3,,0,,Europe/Madrid,0,0,
1044,48913023,KALERO (1044),,43.3462712912858,-3.06990276853484,3,,0,,Europe/Madrid,0,0,
1045,48913024,KALERO (1045),,43.3461271885207,-3.06995195583213,3,,0,,Europe/Madrid,0,0,
2879,20055005,ZALDUSPE (Debagoienako Ospitalea) (2879),,43.0630872719688,-2.48148596428327,5,,0,,Europe/Madrid,0,0,
3088,48075011,ZUBIAUR (FARMAZIA) (3088),,43.1075422197627,-2.91238361383531,4,,0,,Europe/Madrid,0,0,
9100,48075011+1,ZUBIAUR (FARMAZIA) (9100),,43.1075422197627,-2.91238361383531,4,,0,,Europe/Madrid,0,0,
2864,48060006,PLAZAKOLA (2864),,43.2972999841489,-2.47519762007338,5,,0,,Europe/Madrid,0,0,
2262,48017037,ARITZATXU BIDEA (2262),,43.4200690059493,-2.7294162765481,4,,0,,Europe/Madrid,0,0,
